loan_count,total_orig_UPB ($B),average_orig_UPB,weighted_average_fico,weighted_average_cltv,weighted_average_ltv,weighted_average_dti
50000.0,6.3,125690.1,711.3,78.0,77.9,33.6
50000.0,6.5,130918.9,712.2,79.0,78.4,35.2
49999.0,7.4,148131.9,714.7,76.5,75.7,33.8
49997.0,7.7,154680.4,716.6,75.0,74.0,34.1
49997.0,8.0,160694.7,723.5,73.8,72.4,33.1
49997.0,8.3,166464.2,718.3,75.4,73.6,35.8
49999.0,8.5,170689.3,724.4,72.1,70.3,36.3
49997.0,9.0,179596.6,723.9,74.3,71.8,37.6
49996.0,9.2,183760.9,724.8,75.8,73.1,37.8
49994.0,10.2,203975.4,743.0,72.7,70.9,37.0
49999.0,10.7,213726.0,762.8,67.9,66.1,32.5
49998.0,10.4,208390.8,763.3,68.7,67.2,32.4
49997.0,10.9,217078.6,764.3,69.5,68.1,32.4
49997.0,11.1,222675.4,767.0,69.9,68.5,31.4
50000.0,10.9,217599.7,758.7,73.1,72.0,32.9
50000.0,11.0,219868.1,751.9,76.7,76.0,34.3
49999.0,11.5,229370.5,752.4,75.1,74.4,34.4
50000.0,12.0,239712.9,751.3,74.3,73.7,34.7
12457.0,2.9,230705.0,746.4,74.8,74.2,35.8
